ROI,Network
1,Visual
2,Visual
3,Visual
4,Visual
5,Visual
6,Visual
7,Visual
8,Visual
9,Visual
10,Visual
11,Visual
12,Visual
13,Visual
14,Visual
15,Visual
16,Visual
17,Visual
18,Visual
19,Visual
20,Visual
21,Visual
22,Visual
23,Visual
24,Visual
25,Visual
26,Visual
27,Visual
28,Visual
29,Visual
30,Visual
31,Visual
32,Visual
33,Visual
34,Visual
35,Visual
36,Visual
37,Visual
38,Visual
39,Visual
40,Visual
41,Visual
42,Visual
43,Visual
44,Visual
45,Visual
46,Visual
47,Visual
48,Visual
49,Visual
50,Visual
51,Visual
52,Visual
53,Visual
54,Visual
55,Visual
56,Visual
57,Visual
58,Visual
59,Visual
60,Visual
61,Visual
62,Visual
63,Visual
64,Visual
65,Visual
66,Visual
67,Visual
68,Visual
69,Visual
70,Visual
71,Visual
72,Visual
73,Visual
74,Visual
75,Visual
76,Visual
77,Visual
78,Visual
79,Visual
80,Visual
81,Visual
82,Somatomotor
83,Somatomotor
84,Somatomotor
85,Somatomotor
86,Somatomotor
87,Somatomotor
88,Somatomotor
89,Somatomotor
90,Somatomotor
91,Somatomotor
92,Somatomotor
93,Somatomotor
94,Somatomotor
95,Somatomotor
96,Somatomotor
97,Somatomotor
98,Somatomotor
99,Somatomotor
100,Somatomotor
101,Somatomotor
102,Somatomotor
103,Somatomotor
104,Somatomotor
105,Somatomotor
106,Somatomotor
107,Somatomotor
108,Somatomotor
109,Somatomotor
110,Somatomotor
111,Somatomotor
112,Somatomotor
113,Somatomotor
114,Somatomotor
115,Somatomotor
116,Somatomotor
117,Somatomotor
118,Somatomotor
119,Somatomotor
120,Somatomotor
121,Somatomotor
122,Somatomotor
123,Somatomotor
124,Somatomotor
125,Somatomotor
126,Somatomotor
127,Somatomotor
128,Somatomotor
129,Somatomotor
130,Somatomotor
131,Somatomotor
132,Somatomotor
133,Somatomotor
134,Somatomotor
135,Somatomotor
136,Somatomotor
137,Somatomotor
138,Somatomotor
139,Somatomotor
140,Somatomotor
141,Somatomotor
142,Somatomotor
143,Somatomotor
144,Somatomotor
145,Somatomotor
146,Somatomotor
147,Somatomotor
148,Somatomotor
149,Somatomotor
150,Somatomotor
151,Somatomotor
152,Somatomotor
153,Somatomotor
154,Somatomotor
155,Somatomotor
156,Somatomotor
157,Somatomotor
158,Somatomotor
159,Somatomotor
160,Somatomotor
161,Somatomotor
162,Somatomotor
163,Somatomotor
164,Somatomotor
165,Somatomotor
166,Somatomotor
167,Somatomotor
168,Somatomotor
169,Somatomotor
170,Somatomotor
171,Somatomotor
172,Somatomotor
173,Dorsal Attention
174,Dorsal Attention
175,Dorsal Attention
176,Dorsal Attention
177,Dorsal Attention
178,Dorsal Attention
179,Dorsal Attention
180,Dorsal Attention
181,Dorsal Attention
182,Dorsal Attention
183,Dorsal Attention
184,Dorsal Attention
185,Dorsal Attention
186,Dorsal Attention
187,Dorsal Attention
188,Dorsal Attention
189,Dorsal Attention
190,Dorsal Attention
191,Dorsal Attention
192,Dorsal Attention
193,Dorsal Attention
194,Dorsal Attention
195,Dorsal Attention
196,Dorsal Attention
197,Dorsal Attention
198,Dorsal Attention
199,Dorsal Attention
200,Dorsal Attention
201,Dorsal Attention
202,Dorsal Attention
203,Dorsal Attention
204,Dorsal Attention
205,Dorsal Attention
206,Dorsal Attention
207,Dorsal Attention
208,Dorsal Attention
209,Dorsal Attention
210,Dorsal Attention
211,Dorsal Attention
212,Dorsal Attention
213,Dorsal Attention
214,Dorsal Attention
215,Dorsal Attention
216,Dorsal Attention
217,Dorsal Attention
218,Dorsal Attention
219,Dorsal Attention
220,Dorsal Attention
221,Dorsal Attention
222,Dorsal Attention
223,Dorsal Attention
224,Dorsal Attention
225,Dorsal Attention
226,Dorsal Attention
227,Dorsal Attention
228,Dorsal Attention
229,Dorsal Attention
230,Dorsal Attention
231,Dorsal Attention
232,Dorsal Attention
233,Dorsal Attention
234,Ventral Attention
235,Ventral Attention
236,Ventral Attention
237,Ventral Attention
238,Ventral Attention
239,Ventral Attention
240,Ventral Attention
241,Ventral Attention
242,Ventral Attention
243,Ventral Attention
244,Ventral Attention
245,Ventral Attention
246,Ventral Attention
247,Ventral Attention
248,Ventral Attention
249,Ventral Attention
250,Ventral Attention
251,Ventral Attention
252,Ventral Attention
253,Ventral Attention
254,Ventral Attention
255,Ventral Attention
256,Ventral Attention
257,Ventral Attention
258,Ventral Attention
259,Ventral Attention
260,Ventral Attention
261,Ventral Attention
262,Ventral Attention
263,Ventral Attention
264,Ventral Attention
265,Ventral Attention
266,Ventral Attention
267,Ventral Attention
268,Ventral Attention
269,Ventral Attention
270,Ventral Attention
271,Ventral Attention
272,Ventral Attention
273,Ventral Attention
274,Ventral Attention
275,Ventral Attention
276,Ventral Attention
277,Ventral Attention
278,Ventral Attention
279,Ventral Attention
280,Ventral Attention
281,Ventral Attention
282,Ventral Attention
283,Ventral Attention
284,Ventral Attention
285,Ventral Attention
286,Ventral Attention
287,Ventral Attention
288,Ventral Attention
289,Limbic
290,Limbic
291,Limbic
292,Limbic
293,Limbic
294,Limbic
295,Limbic
296,Limbic
297,Limbic
298,Limbic
299,Limbic
300,Limbic
301,Limbic
302,Limbic
303,Limbic
304,Limbic
305,Limbic
306,Limbic
307,Limbic
308,Limbic
309,Limbic
310,Limbic
311,Limbic
312,Limbic
313,Limbic
314,Limbic
315,Limbic
316,Limbic
317,Limbic
318,Frontoparietal Control
319,Frontoparietal Control
320,Frontoparietal Control
321,Frontoparietal Control
322,Frontoparietal Control
323,Frontoparietal Control
324,Frontoparietal Control
325,Frontoparietal Control
326,Frontoparietal Control
327,Frontoparietal Control
328,Frontoparietal Control
329,Frontoparietal Control
330,Frontoparietal Control
331,Frontoparietal Control
332,Frontoparietal Control
333,Frontoparietal Control
334,Frontoparietal Control
335,Frontoparietal Control
336,Frontoparietal Control
337,Frontoparietal Control
338,Frontoparietal Control
339,Frontoparietal Control
340,Frontoparietal Control
341,Frontoparietal Control
342,Frontoparietal Control
343,Frontoparietal Control
344,Frontoparietal Control
345,Frontoparietal Control
346,Frontoparietal Control
347,Frontoparietal Control
348,Frontoparietal Control
349,Frontoparietal Control
350,Frontoparietal Control
351,Frontoparietal Control
352,Frontoparietal Control
353,Frontoparietal Control
354,Frontoparietal Control
355,Frontoparietal Control
356,Frontoparietal Control
357,Frontoparietal Control
358,Frontoparietal Control
359,Frontoparietal Control
360,Frontoparietal Control
361,Frontoparietal Control
362,Frontoparietal Control
363,Frontoparietal Control
364,Frontoparietal Control
365,Frontoparietal Control
366,Frontoparietal Control
367,Frontoparietal Control
368,Frontoparietal Control
369,Frontoparietal Control
370,Frontoparietal Control
371,Frontoparietal Control
372,Frontoparietal Control
373,Frontoparietal Control
374,Frontoparietal Control
375,Default Mode Network
376,Default Mode Network
377,Default Mode Network
378,Default Mode Network
379,Default Mode Network
380,Default Mode Network
381,Default Mode Network
382,Default Mode Network
383,Default Mode Network
384,Default Mode Network
385,Default Mode Network
386,Default Mode Network
387,Default Mode Network
388,Default Mode Network
389,Default Mode Network
390,Default Mode Network
391,Default Mode Network
392,Default Mode Network
393,Default Mode Network
394,Default Mode Network
395,Default Mode Network
396,Default Mode Network
397,Default Mode Network
398,Default Mode Network
399,Default Mode Network
400,Default Mode Network
401,Default Mode Network
402,Default Mode Network
403,Default Mode Network
404,Default Mode Network
405,Default Mode Network
406,Default Mode Network
407,Default Mode Network
408,Default Mode Network
409,Default Mode Network
410,Default Mode Network
411,Default Mode Network
412,Default Mode Network
413,Default Mode Network
414,Default Mode Network
415,Default Mode Network
416,Default Mode Network
417,Default Mode Network
418,Default Mode Network
419,Default Mode Network
420,Default Mode Network
421,Default Mode Network
422,Default Mode Network
423,Default Mode Network
424,Default Mode Network
425,Default Mode Network
426,Default Mode Network
427,Default Mode Network
428,Default Mode Network
429,Default Mode Network
430,Default Mode Network
431,Default Mode Network
432,Default Mode Network
433,Default Mode Network
434,Default Mode Network
435,Default Mode Network
436,Default Mode Network
437,Default Mode Network
438,Default Mode Network
439,Default Mode Network
440,Default Mode Network
441,Default Mode Network
442,Default Mode Network
443,Default Mode Network
444,Default Mode Network
445,Default Mode Network
446,Default Mode Network
447,Default Mode Network
448,Default Mode Network
449,Default Mode Network
450,Default Mode Network
451,Default Mode Network
452,Default Mode Network
453,Default Mode Network
454,Default Mode Network
455,Default Mode Network
456,Default Mode Network
457,Default Mode Network
458,Default Mode Network
459,Default Mode Network
460,Default Mode Network
461,Default Mode Network
462,Default Mode Network
463,Default Mode Network
464,Default Mode Network
465,Default Mode Network
466,Default Mode Network
467,Default Mode Network
468,Default Mode Network
469,Default Mode Network
470,Default Mode Network
471,Default Mode Network
472,Default Mode Network
473,Default Mode Network
474,Default Mode Network
475,Default Mode Network
476,Default Mode Network
477,Default Mode Network
478,Default Mode Network
479,Default Mode Network
480,Default Mode Network
481,Default Mode Network
482,Default Mode Network
483,Default Mode Network
484,Default Mode Network
485,Default Mode Network
486,Default Mode Network
487,Default Mode Network
488,Default Mode Network
489,Default Mode Network
490,Default Mode Network
491,Default Mode Network
492,Default Mode Network
493,Default Mode Network
494,Default Mode Network
495,Default Mode Network
496,Default Mode Network
497,Default Mode Network
498,Default Mode Network
499,Default Mode Network
500,Default Mode Network
501,Visual
502,Visual
503,Visual
504,Visual
505,Visual
506,Visual
507,Visual
508,Visual
509,Visual
510,Visual
511,Visual
512,Visual
513,Visual
514,Visual
515,Visual
516,Visual
517,Visual
518,Visual
519,Visual
520,Visual
521,Visual
522,Visual
523,Visual
524,Visual
525,Visual
526,Visual
527,Visual
528,Visual
529,Visual
530,Visual
531,Visual
532,Visual
533,Visual
534,Visual
535,Visual
536,Visual
537,Visual
538,Visual
539,Visual
540,Visual
541,Visual
542,Visual
543,Visual
544,Visual
545,Visual
546,Visual
547,Visual
548,Visual
549,Visual
550,Visual
551,Visual
552,Visual
553,Visual
554,Visual
555,Visual
556,Visual
557,Visual
558,Visual
559,Visual
560,Visual
561,Visual
562,Visual
563,Visual
564,Visual
565,Visual
566,Visual
567,Visual
568,Visual
569,Visual
570,Visual
571,Visual
572,Visual
573,Visual
574,Visual
575,Visual
576,Visual
577,Visual
578,Visual
579,Visual
580,Visual
581,Visual
582,Somatomotor
583,Somatomotor
584,Somatomotor
585,Somatomotor
586,Somatomotor
587,Somatomotor
588,Somatomotor
589,Somatomotor
590,Somatomotor
591,Somatomotor
592,Somatomotor
593,Somatomotor
594,Somatomotor
595,Somatomotor
596,Somatomotor
597,Somatomotor
598,Somatomotor
599,Somatomotor
600,Somatomotor
601,Somatomotor
602,Somatomotor
603,Somatomotor
604,Somatomotor
605,Somatomotor
606,Somatomotor
607,Somatomotor
608,Somatomotor
609,Somatomotor
610,Somatomotor
611,Somatomotor
612,Somatomotor
613,Somatomotor
614,Somatomotor
615,Somatomotor
616,Somatomotor
617,Somatomotor
618,Somatomotor
619,Somatomotor
620,Somatomotor
621,Somatomotor
622,Somatomotor
623,Somatomotor
624,Somatomotor
625,Somatomotor
626,Somatomotor
627,Somatomotor
628,Somatomotor
629,Somatomotor
630,Somatomotor
631,Somatomotor
632,Somatomotor
633,Somatomotor
634,Somatomotor
635,Somatomotor
636,Somatomotor
637,Somatomotor
638,Somatomotor
639,Somatomotor
640,Somatomotor
641,Somatomotor
642,Somatomotor
643,Somatomotor
644,Somatomotor
645,Somatomotor
646,Somatomotor
647,Somatomotor
648,Somatomotor
649,Somatomotor
650,Somatomotor
651,Somatomotor
652,Somatomotor
653,Somatomotor
654,Somatomotor
655,Somatomotor
656,Somatomotor
657,Somatomotor
658,Somatomotor
659,Somatomotor
660,Somatomotor
661,Somatomotor
662,Somatomotor
663,Somatomotor
664,Somatomotor
665,Somatomotor
666,Somatomotor
667,Somatomotor
668,Somatomotor
669,Somatomotor
670,Somatomotor
671,Somatomotor
672,Somatomotor
673,Somatomotor
674,Somatomotor
675,Somatomotor
676,Somatomotor
677,Somatomotor
678,Somatomotor
679,Somatomotor
680,Somatomotor
681,Somatomotor
682,Somatomotor
683,Somatomotor
684,Somatomotor
685,Dorsal Attention
686,Dorsal Attention
687,Dorsal Attention
688,Dorsal Attention
689,Dorsal Attention
690,Dorsal Attention
691,Dorsal Attention
692,Dorsal Attention
693,Dorsal Attention
694,Dorsal Attention
695,Dorsal Attention
696,Dorsal Attention
697,Dorsal Attention
698,Dorsal Attention
699,Dorsal Attention
700,Dorsal Attention
701,Dorsal Attention
702,Dorsal Attention
703,Dorsal Attention
704,Dorsal Attention
705,Dorsal Attention
706,Dorsal Attention
707,Dorsal Attention
708,Dorsal Attention
709,Dorsal Attention
710,Dorsal Attention
711,Dorsal Attention
712,Dorsal Attention
713,Dorsal Attention
714,Dorsal Attention
715,Dorsal Attention
716,Dorsal Attention
717,Dorsal Attention
718,Dorsal Attention
719,Dorsal Attention
720,Dorsal Attention
721,Dorsal Attention
722,Dorsal Attention
723,Dorsal Attention
724,Dorsal Attention
725,Dorsal Attention
726,Dorsal Attention
727,Dorsal Attention
728,Dorsal Attention
729,Dorsal Attention
730,Dorsal Attention
731,Dorsal Attention
732,Dorsal Attention
733,Dorsal Attention
734,Dorsal Attention
735,Dorsal Attention
736,Dorsal Attention
737,Dorsal Attention
738,Dorsal Attention
739,Dorsal Attention
740,Dorsal Attention
741,Dorsal Attention
742,Dorsal Attention
743,Dorsal Attention
744,Dorsal Attention
745,Dorsal Attention
746,Ventral Attention
747,Ventral Attention
748,Ventral Attention
749,Ventral Attention
750,Ventral Attention
751,Ventral Attention
752,Ventral Attention
753,Ventral Attention
754,Ventral Attention
755,Ventral Attention
756,Ventral Attention
757,Ventral Attention
758,Ventral Attention
759,Ventral Attention
760,Ventral Attention
761,Ventral Attention
762,Ventral Attention
763,Ventral Attention
764,Ventral Attention
765,Ventral Attention
766,Ventral Attention
767,Ventral Attention
768,Ventral Attention
769,Ventral Attention
770,Ventral Attention
771,Ventral Attention
772,Ventral Attention
773,Ventral Attention
774,Ventral Attention
775,Ventral Attention
776,Ventral Attention
777,Ventral Attention
778,Ventral Attention
779,Ventral Attention
780,Ventral Attention
781,Ventral Attention
782,Ventral Attention
783,Ventral Attention
784,Ventral Attention
785,Ventral Attention
786,Ventral Attention
787,Ventral Attention
788,Ventral Attention
789,Ventral Attention
790,Ventral Attention
791,Ventral Attention
792,Ventral Attention
793,Ventral Attention
794,Ventral Attention
795,Ventral Attention
796,Ventral Attention
797,Ventral Attention
798,Ventral Attention
799,Ventral Attention
800,Ventral Attention
801,Ventral Attention
802,Ventral Attention
803,Ventral Attention
804,Ventral Attention
805,Ventral Attention
806,Ventral Attention
807,Ventral Attention
808,Ventral Attention
809,Ventral Attention
810,Ventral Attention
811,Ventral Attention
812,Limbic
813,Limbic
814,Limbic
815,Limbic
816,Limbic
817,Limbic
818,Limbic
819,Limbic
820,Limbic
821,Limbic
822,Limbic
823,Limbic
824,Limbic
825,Limbic
826,Limbic
827,Limbic
828,Limbic
829,Limbic
830,Limbic
831,Limbic
832,Limbic
833,Limbic
834,Limbic
835,Limbic
836,Limbic
837,Limbic
838,Limbic
839,Limbic
840,Limbic
841,Limbic
842,Limbic
843,Frontoparietal Control
844,Frontoparietal Control
845,Frontoparietal Control
846,Frontoparietal Control
847,Frontoparietal Control
848,Frontoparietal Control
849,Frontoparietal Control
850,Frontoparietal Control
851,Frontoparietal Control
852,Frontoparietal Control
853,Frontoparietal Control
854,Frontoparietal Control
855,Frontoparietal Control
856,Frontoparietal Control
857,Frontoparietal Control
858,Frontoparietal Control
859,Frontoparietal Control
860,Frontoparietal Control
861,Frontoparietal Control
862,Frontoparietal Control
863,Frontoparietal Control
864,Frontoparietal Control
865,Frontoparietal Control
866,Frontoparietal Control
867,Frontoparietal Control
868,Frontoparietal Control
869,Frontoparietal Control
870,Frontoparietal Control
871,Frontoparietal Control
872,Frontoparietal Control
873,Frontoparietal Control
874,Frontoparietal Control
875,Frontoparietal Control
876,Frontoparietal Control
877,Frontoparietal Control
878,Frontoparietal Control
879,Frontoparietal Control
880,Frontoparietal Control
881,Frontoparietal Control
882,Frontoparietal Control
883,Frontoparietal Control
884,Frontoparietal Control
885,Frontoparietal Control
886,Frontoparietal Control
887,Frontoparietal Control
888,Frontoparietal Control
889,Frontoparietal Control
890,Frontoparietal Control
891,Frontoparietal Control
892,Frontoparietal Control
893,Frontoparietal Control
894,Frontoparietal Control
895,Frontoparietal Control
896,Frontoparietal Control
897,Frontoparietal Control
898,Frontoparietal Control
899,Frontoparietal Control
900,Frontoparietal Control
901,Frontoparietal Control
902,Frontoparietal Control
903,Frontoparietal Control
904,Frontoparietal Control
905,Frontoparietal Control
906,Frontoparietal Control
907,Frontoparietal Control
908,Frontoparietal Control
909,Frontoparietal Control
910,Frontoparietal Control
911,Frontoparietal Control
912,Frontoparietal Control
913,Default Mode Network
914,Default Mode Network
915,Default Mode Network
916,Default Mode Network
917,Default Mode Network
918,Default Mode Network
919,Default Mode Network
920,Default Mode Network
921,Default Mode Network
922,Default Mode Network
923,Default Mode Network
924,Default Mode Network
925,Default Mode Network
926,Default Mode Network
927,Default Mode Network
928,Default Mode Network
929,Default Mode Network
930,Default Mode Network
931,Default Mode Network
932,Default Mode Network
933,Default Mode Network
934,Default Mode Network
935,Default Mode Network
936,Default Mode Network
937,Default Mode Network
938,Default Mode Network
939,Default Mode Network
940,Default Mode Network
941,Default Mode Network
942,Default Mode Network
943,Default Mode Network
944,Default Mode Network
945,Default Mode Network
946,Default Mode Network
947,Default Mode Network
948,Default Mode Network
949,Default Mode Network
950,Default Mode Network
951,Default Mode Network
952,Default Mode Network
953,Default Mode Network
954,Default Mode Network
955,Default Mode Network
956,Default Mode Network
957,Default Mode Network
958,Default Mode Network
959,Default Mode Network
960,Default Mode Network
961,Default Mode Network
962,Default Mode Network
963,Default Mode Network
964,Default Mode Network
965,Default Mode Network
966,Default Mode Network
967,Default Mode Network
968,Default Mode Network
969,Default Mode Network
970,Default Mode Network
971,Default Mode Network
972,Default Mode Network
973,Default Mode Network
974,Default Mode Network
975,Default Mode Network
976,Default Mode Network
977,Default Mode Network
978,Default Mode Network
979,Default Mode Network
980,Default Mode Network
981,Default Mode Network
982,Default Mode Network
983,Default Mode Network
984,Default Mode Network
985,Default Mode Network
986,Default Mode Network
987,Default Mode Network
988,Default Mode Network
989,Default Mode Network
990,Default Mode Network
991,Default Mode Network
992,Default Mode Network
993,Default Mode Network
994,Default Mode Network
995,Default Mode Network
996,Default Mode Network
997,Default Mode Network
998,Default Mode Network
999,Frontoparietal Control
1000,Frontoparietal Control
